d,H,k,p,S11
7,19,5.2,12,-18.77572676
8,19,5.2,12,-19.10087146
3,20,5.2,12,-21.66799668
4,20,5.2,12,-23.09965759
5,20,5.2,12,-23.52406163
6,20,5.2,12,-24.29913779
7,20,5.2,12,-25.34352759
8,20,5.2,12,-24.28510045
3,21,5.2,12,-26.13176564
4,21,5.2,12,-27.37697984
5,21,5.2,12,-28.28746123
6,21,5.2,12,-28.85814915
7,21,5.2,12,-31.96985134
8,21,5.2,12,-30.09857838
3,22,5.2,12,-30.31522823
4,22,5.2,12,-32.69883791
5,22,5.2,12,-31.33389006
6,22,5.2,12,-41.50897343
7,22,5.2,12,-33.07625089
8,22,5.2,12,-37.78905999
3,23,5.2,12,-30.59651166
4,23,5.2,12,-36.55038852
5,23,5.2,12,-34.75557562
6,23,5.2,12,-38.73391693
7,23,5.2,12,-37.25486
8,23,5.2,12,-35.72431166
3,24,5.2,12,-28.8638063
4,24,5.2,12,-33.24851793
5,24,5.2,12,-34.39875349
6,24,5.2,12,-33.68749796
7,24,5.2,12,-38.35654771
8,24,5.2,12,-43.22438584
3,18,5.2,12.5,-10.03688613
4,18,5.2,12.5,-10.52214426
5,18,5.2,12.5,-10.89747601
6,18,5.2,12.5,-10.92994483
7,18,5.2,12.5,-11.14789118
8,18,5.2,12.5,-11.00122146
3,19,5.2,12.5,-13.04852234
4,19,5.2,12.5,-13.60213122
5,19,5.2,12.5,-14.13288315
6,19,5.2,12.5,-14.42229232
7,19,5.2,12.5,-14.26618954
8,19,5.2,12.5,-14.67240618
3,20,5.2,12.5,-16.93477046
4,20,5.2,12.5,-17.17694211
5,20,5.2,12.5,-17.519536
6,20,5.2,12.5,-18.53702584
7,20,5.2,12.5,-18.38847753
8,20,5.2,12.5,-18.48592305
3,21,5.2,12.5,-19.88414646
4,21,5.2,12.5,-21.91943287
5,21,5.2,12.5,-22.62137284
6,21,5.2,12.5,-22.16734132
7,21,5.2,12.5,-23.32460556
8,21,5.2,12.5,-23.28009817
3,22,5.2,12.5,-22.50538846
4,22,5.2,12.5,-24.79505845
5,22,5.2,12.5,-25.55467089
6,22,5.2,12.5,-25.54580913
7,22,5.2,12.5,-27.14103409
8,22,5.2,12.5,-27.96011114
3,23,5.2,12.5,-24.44044283
4,23,5.2,12.5,-26.05872779
5,23,5.2,12.5,-27.95774558
6,23,5.2,12.5,-29.75758675
7,23,5.2,12.5,-31.11758651
8,23,5.2,12.5,-33.4003153
3,24,5.2,12.5,-25.84310097
4,24,5.2,12.5,-27.97624663
5,24,5.2,12.5,-30.8520023
6,24,5.2,12.5,-31.76161861
7,24,5.2,12.5,-34.8057896
8,24,5.2,12.5,-34.95197853
3,18,5.2,13,-6.879061715
4,18,5.2,13,-7.46133146
5,18,5.2,13,-7.729921772
6,18,5.2,13,-7.855314718
7,18,5.2,13,-8.073240266
8,18,5.2,13,-7.928260908
3,19,5.2,13,-9.340187757
4,19,5.2,13,-9.874970132
5,19,5.2,13,-10.17782467
6,19,5.2,13,-10.35901445
7,19,5.2,13,-10.65705825
8,19,5.2,13,-10.6498459
3,20,5.2,13,-12.27748655
4,20,5.2,13,-12.91971674
5,20,5.2,13,-13.21033251
6,20,5.2,13,-13.55142176
7,20,5.2,13,-13.76104917
8,20,5.2,13,-13.85877661
3,21,5.2,13,-15.01814598
4,21,5.2,13,-15.6651701
5,21,5.2,13,-16.6605088
6,21,5.2,13,-16.63167231
7,21,5.2,13,-17.37069993
8,21,5.2,13,-17.28163558
3,22,5.2,13,-17.53493536
4,22,5.2,13,-18.44642822
5,22,5.2,13,-19.72685788
6,22,5.2,13,-18.99969037
7,22,5.2,13,-20.60450989
8,22,5.2,13,-20.49762008
3,23,5.2,13,-19.26266683
4,23,5.2,13,-20.73836609
5,23,5.2,13,-21.9175047
6,23,5.2,13,-22.27413377
7,23,5.2,13,-23.74807193
8,23,5.2,13,-24.22493332
3,24,5.2,13,-20.99907646
4,24,5.2,13,-23.08210154
5,24,5.2,13,-24.00293131
6,24,5.2,13,-25.92064327
7,24,5.2,13,-26.72212817
8,24,5.2,13,-27.74303555
3,18,5.2,13.5,-33.2609146
4,18,5.2,13.5,-28.46430361
5,18,5.2,13.5,-24.65203877
6,18,5.2,13.5,-23.29770606
7,18,5.2,13.5,-19.61538657
8,18,5.2,13.5,-18.18217682
3,19,5.2,13.5,-48.44730533
4,19,5.2,13.5,-31.76342809
5,19,5.2,13.5,-29.63027849
6,19,5.2,13.5,-23.46076909
7,19,5.2,13.5,-24.78156296
8,19,5.2,13.5,-21.57531809
3,20,5.2,13.5,-24.56964201
4,20,5.2,13.5,-22.44157322
5,20,5.2,13.5,-21.32889366
6,20,5.2,13.5,-20.29574678
7,20,5.2,13.5,-21.3599391
8,20,5.2,13.5,-20.23142578
3,21,5.2,13.5,-30.75724503
4,21,5.2,13.5,-34.9075202
5,21,5.2,13.5,-53.30480114
6,21,5.2,13.5,-65.20756442
7,21,5.2,13.5,-42.57147571
8,21,5.2,13.5,-45.56986461
3,22,5.2,13.5,-30.87314039
4,22,5.2,13.5,-26.49210026
5,22,5.2,13.5,-23.76296275
6,22,5.2,13.5,-23.99159308
7,22,5.2,13.5,-24.10517098
8,22,5.2,13.5,-23.42988365
3,23,5.2,13.5,-22.98222103
4,23,5.2,13.5,-21.6249433
5,23,5.2,13.5,-20.21415282
6,23,5.2,13.5,-19.46011033
7,23,5.2,13.5,-17.26724911
8,23,5.2,13.5,-18.25281301
3,24,5.2,13.5,-19.01813146
4,24,5.2,13.5,-18.91215587
5,24,5.2,13.5,-17.66212943
6,24,5.2,13.5,-16.86500685
7,24,5.2,13.5,-16.1938795
8,24,5.2,13.5,-16.15019734
3,18,5.2,14,-22.48466425
4,18,5.2,14,-21.53172824
5,18,5.2,14,-19.0008263
6,18,5.2,14,-18.92901281
7,18,5.2,14,-18.68836884
8,18,5.2,14,-18.32947388
3,19,5.2,14,-39.68176392
4,19,5.2,14,-22.87858782
5,19,5.2,14,-30.66113274
6,19,5.2,14,-25.44725786
7,19,5.2,14,-26.98098124
8,19,5.2,14,-23.92714865
3,20,5.2,14,-41.63150513
4,20,5.2,14,-31.71992915
5,20,5.2,14,-26.41633224
6,20,5.2,14,-25.70664532
7,20,5.2,14,-19.0536745
8,20,5.2,14,-19.06019375
3,21,5.2,14,-23.08621153
4,21,5.2,14,-22.07574052
5,21,5.2,14,-21.95444262
6,21,5.2,14,-21.21274332
7,21,5.2,14,-21.92816302
8,21,5.2,14,-22.74329587
3,22,5.2,14,-26.28615405
4,22,5.2,14,-34.16077763
5,22,5.2,14,-32.73292092
6,22,5.2,14,-53.82505028
7,22,5.2,14,-44.15487668
8,22,5.2,14,-34.20322245
3,23,5.2,14,-43.68884369
4,23,5.2,14,-29.83203266
5,23,5.2,14,-26.43412434
6,23,5.2,14,-25.33279796
7,23,5.2,14,-24.32456243
8,23,5.2,14,-23.74726482
3,24,5.2,14,-26.65168506
4,24,5.2,14,-22.81872672
5,24,5.2,14,-20.95085963
6,24,5.2,14,-20.26910421
7,24,5.2,14,-19.98516562
8,24,5.2,14,-19.4557666
3,18,5.2,14.5,-15.14266608
4,18,5.2,14.5,-15.55109966
5,18,5.2,14.5,-16.31027127
6,18,5.2,14.5,-15.33203295
7,18,5.2,14.5,-14.84552442
8,18,5.2,14.5,-14.4224383
3,19,5.2,14.5,-31.97462182
4,19,5.2,14.5,-28.66876712
5,19,5.2,14.5,-21.9238195
6,19,5.2,14.5,-24.78058878
7,19,5.2,14.5,-21.61715428
8,19,5.2,14.5,-21.3280099
3,20,5.2,14.5,-39.28269701
4,20,5.2,14.5,-38.76225317
5,20,5.2,14.5,-36.78342301
6,20,5.2,14.5,-31.42908356
7,20,5.2,14.5,-27.33953854
8,20,5.2,14.5,-25.56665416
3,21,5.2,14.5,-44.86893372
4,21,5.2,14.5,-20.11695509
5,21,5.2,14.5,-27.04237538
6,21,5.2,14.5,-21.13542586
7,21,5.2,14.5,-21.45208828
8,21,5.2,14.5,-21.64735353
3,22,5.2,14.5,-24.24191744
4,22,5.2,14.5,-21.90585006
5,22,5.2,14.5,-20.15492107
6,22,5.2,14.5,-22.16232788
7,22,5.2,14.5,-22.44359966
8,22,5.2,14.5,-23.38992006
3,23,5.2,14.5,-23.80780613
4,23,5.2,14.5,-32.98176261
5,23,5.2,14.5,-32.56144291
6,23,5.2,14.5,-35.67654385
7,23,5.2,14.5,-42.11398091
8,23,5.2,14.5,-42.72746196
3,24,5.2,14.5,-41.04165423
4,24,5.2,14.5,-37.17458897
5,24,5.2,14.5,-29.39643929
6,24,5.2,14.5,-27.85758728
7,24,5.2,14.5,-25.97140848
8,24,5.2,14.5,-25.02784333
3,18,5.2,15,-11.27856039
4,18,5.2,15,-11.94627044
5,18,5.2,15,-12.78571802
6,18,5.2,15,-12.25340204
7,18,5.2,15,-11.30115364
8,18,5.2,15,-11.57926439
3,19,5.2,15,-17.56652981
4,19,5.2,15,-21.60937195
5,19,5.2,15,-20.89694357
6,19,5.2,15,-20.32458763
7,19,5.2,15,-18.41420544
8,19,5.2,15,-16.38098337
3,20,5.2,15,-49.53324629
4,20,5.2,15,-41.45046915
5,20,5.2,15,-24.41756708
6,20,5.2,15,-31.39686017
7,20,5.2,15,-24.56243524
8,20,5.2,15,-28.58711663
3,21,5.2,15,-29.28126057
4,21,5.2,15,-48.1090873
5,21,5.2,15,-20.33749589
6,21,5.2,15,-20.11891175
7,21,5.2,15,-36.97714168
8,21,5.2,15,-29.75858616
3,22,5.2,15,-33.22608606
4,22,5.2,15,-32.22988096
5,22,5.2,15,-25.22651881
6,22,5.2,15,-27.76127661
7,22,5.2,15,-16.99606908
8,22,5.2,15,-21.18685811
3,23,5.2,15,-22.04775508
4,23,5.2,15,-19.76817974
5,23,5.2,15,-21.21366194
6,23,5.2,15,-23.81876403
7,23,5.2,15,-22.92699421
8,23,5.2,15,-23.87376793
3,24,5.2,15,-25.00365353
4,24,5.2,15,-26.6395612
5,24,5.2,15,-29.26947411
6,24,5.2,15,-40.02379917
7,24,5.2,15,-51.57499783
8,24,5.2,15,-39.94659012
3,18,5.3,12,-13.88374457
4,18,5.3,12,-14.31806202
5,18,5.3,12,-14.74557473
6,18,5.3,12,-14.99513003
7,18,5.3,12,-15.43436932
8,18,5.3,12,-14.98748563
3,19,5.3,12,-17.2550441
4,19,5.3,12,-17.4945717
5,19,5.3,12,-18.74553789
6,19,5.3,12,-18.90059437
7,19,5.3,12,-19.72546094
8,19,5.3,12,-19.69920162
3,20,5.3,12,-22.43148106
4,20,5.3,12,-23.34707372
5,20,5.3,12,-24.73351155
6,20,5.3,12,-24.5107273
7,20,5.3,12,-25.15106603
8,20,5.3,12,-24.50964659
3,21,5.3,12,-27.01437799
4,21,5.3,12,-29.51015742
5,21,5.3,12,-32.55614794
6,21,5.3,12,-33.25498748
7,21,5.3,12,-32.78164306
8,21,5.3,12,-34.43867413
3,22,5.3,12,-33.59239525
4,22,5.3,12,-35.6700994
5,22,5.3,12,-37.37730702
6,22,5.3,12,-36.17133647
7,22,5.3,12,-35.42831647
8,22,5.3,12,-43.41500995
3,23,5.3,12,-30.67017882
4,23,5.3,12,-34.94945553
5,23,5.3,12,-35.56797869
6,23,5.3,12,-42.55006168
7,23,5.3,12,-36.11864948
8,23,5.3,12,-43.48630246
3,24,5.3,12,-32.63629927
4,24,5.3,12,-34.68182267
5,24,5.3,12,-44.37707162
6,24,5.3,12,-38.1846849
7,24,5.3,12,-43.35663746
8,24,5.3,12,-39.24418973
3,18,5.3,12.5,-10.28455178
4,18,5.3,12.5,-10.75251005
5,18,5.3,12.5,-11.14010133
6,18,5.3,12.5,-11.17779536
7,18,5.3,12.5,-11.42611027
8,18,5.3,12.5,-11.57697205
3,19,5.3,12.5,-13.12040828
4,19,5.3,12.5,-14.34120374
5,19,5.3,12.5,-14.4642147
6,19,5.3,12.5,-14.45829105
7,19,5.3,12.5,-14.71745288
8,19,5.3,12.5,-14.79322714
3,20,5.3,12.5,-16.53998643
4,20,5.3,12.5,-18.39186556
5,20,5.3,12.5,-18.23726415
6,20,5.3,12.5,-18.12195455
7,20,5.3,12.5,-18.63159893
8,20,5.3,12.5,-18.96354838
3,21,5.3,12.5,-20.30500158
4,21,5.3,12.5,-21.28474648
5,21,5.3,12.5,-22.55090595
6,21,5.3,12.5,-23.54262397
7,21,5.3,12.5,-24.02845201
8,21,5.3,12.5,-24.2951851
3,22,5.3,12.5,-23.36904226
4,22,5.3,12.5,-25.6507993
5,22,5.3,12.5,-26.65214162
6,22,5.3,12.5,-27.47502742
7,22,5.3,12.5,-28.0607513
8,22,5.3,12.5,-29.92455445
3,23,5.3,12.5,-23.09867037
4,23,5.3,12.5,-27.45071094
5,23,5.3,12.5,-29.91752858
6,23,5.3,12.5,-28.80448232
7,23,5.3,12.5,-31.61785754
8,23,5.3,12.5,-35.72491094
3,24,5.3,12.5,-27.74493621
4,24,5.3,12.5,-28.36884696
5,24,5.3,12.5,-32.84850635
6,24,5.3,12.5,-30.97218209
7,24,5.3,12.5,-36.29536244
8,24,5.3,12.5,-34.23478529
3,18,5.3,13,-7.152706458
4,18,5.3,13,-7.608884068
5,18,5.3,13,-7.879427269
6,18,5.3,13,-8.114963083
7,18,5.3,13,-8.247184436
8,18,5.3,13,-8.289769746
3,19,5.3,13,-9.623618454
4,19,5.3,13,-10.14899977
5,19,5.3,13,-10.58884819
6,19,5.3,13,-10.72098473
7,19,5.3,13,-10.82370109
8,19,5.3,13,-11.27415103
3,20,5.3,13,-12.3899331
4,20,5.3,13,-13.05924745
5,20,5.3,13,-13.4545961
6,20,5.3,13,-13.93947079
7,20,5.3,13,-14.0422585
8,20,5.3,13,-14.20002942
3,21,5.3,13,-15.30888276
4,21,5.3,13,-16.33131137
5,21,5.3,13,-16.65422454
6,21,5.3,13,-17.3611758
7,21,5.3,13,-17.69993874
8,21,5.3,13,-18.22359347
3,22,5.3,13,-17.77646469
4,22,5.3,13,-18.86709919
5,22,5.3,13,-20.28094742
6,22,5.3,13,-20.5721465
7,22,5.3,13,-21.34121962
8,22,5.3,13,-21.70603196
3,23,5.3,13,-19.6149647
4,23,5.3,13,-20.97847637
5,23,5.3,13,-21.99386144
6,23,5.3,13,-23.761623
7,23,5.3,13,-23.55696689
8,23,5.3,13,-24.77614454
3,24,5.3,13,-21.73063075
4,24,5.3,13,-23.09660376
5,24,5.3,13,-24.78782275
6,24,5.3,13,-26.34296331
7,24,5.3,13,-27.11725006
8,24,5.3,13,-28.23660358
3,18,5.3,13.5,-24.04716687
4,18,5.3,13.5,-21.59708238
5,18,5.3,13.5,-17.75711657
6,18,5.3,13.5,-20.78639269
7,18,5.3,13.5,-17.65689949
8,18,5.3,13.5,-16.45201533
3,19,5.3,13.5,-38.50389726
4,19,5.3,13.5,-22.988677
5,19,5.3,13.5,-18.80809239
6,19,5.3,13.5,-21.15915991
7,19,5.3,13.5,-21.61655819
8,19,5.3,13.5,-18.8216084
3,20,5.3,13.5,-20.8811616
4,20,5.3,13.5,-18.75657426
5,20,5.3,13.5,-19.61772471
6,20,5.3,13.5,-19.18039964
7,20,5.3,13.5,-19.32787702
8,20,5.3,13.5,-18.97654233
3,21,5.3,13.5,-27.70480844
4,21,5.3,13.5,-30.25838604
5,21,5.3,13.5,-37.15621448
6,21,5.3,13.5,-38.86475088
7,21,5.3,13.5,-52.27041601
8,21,5.3,13.5,-48.74973883
3,22,5.3,13.5,-30.07323198
4,22,5.3,13.5,-24.16278218
5,22,5.3,13.5,-25.41081925
6,22,5.3,13.5,-23.88388105
7,22,5.3,13.5,-23.22203522
8,22,5.3,13.5,-24.5937855
3,23,5.3,13.5,-22.64228472
4,23,5.3,13.5,-22.1165492
5,23,5.3,13.5,-20.4060924
6,23,5.3,13.5,-18.90795137
7,23,5.3,13.5,-19.30019679
8,23,5.3,13.5,-19.28989105
3,24,5.3,13.5,-19.69275123
4,24,5.3,13.5,-18.56059947
5,24,5.3,13.5,-17.71828121
6,24,5.3,13.5,-16.33353907
7,24,5.3,13.5,-16.68428086
8,24,5.3,13.5,-16.47366189
3,18,5.3,14,-20.8950821
4,18,5.3,14,-19.06599677
5,18,5.3,14,-16.78849672
6,18,5.3,14,-17.71879603
7,18,5.3,14,-16.99912039
8,18,5.3,14,-16.12883285
3,19,5.3,14,-38.0070072
4,19,5.3,14,-25.5839528
5,19,5.3,14,-24.93302995
6,19,5.3,14,-23.40256454
7,19,5.3,14,-23.56440669
8,19,5.3,14,-14.37647287
3,20,5.3,14,-25.36407561
4,20,5.3,14,-24.84462511
5,20,5.3,14,-26.83824592
6,20,5.3,14,-24.95955887
7,20,5.3,14,-25.47017182
8,20,5.3,14,-21.83195104
3,21,5.3,14,-21.54755586
4,21,5.3,14,-20.50112352
5,21,5.3,14,-20.51686147
6,21,5.3,14,-20.00547899
7,21,5.3,14,-20.99135733
8,21,5.3,14,-23.0113715
3,22,5.3,14,-23.15780079
4,22,5.3,14,-30.052092
5,22,5.3,14,-33.13222777
6,22,5.3,14,-37.61081996
7,22,5.3,14,-42.55327267
8,22,5.3,14,-42.63729793
3,23,5.3,14,-35.49787714
4,23,5.3,14,-29.1132611
5,23,5.3,14,-28.43264413
6,23,5.3,14,-27.78504859
7,23,5.3,14,-22.53990278
8,23,5.3,14,-25.54247002
3,24,5.3,14,-26.19699116
4,24,5.3,14,-24.46330861
5,24,5.3,14,-21.27242322
6,24,5.3,14,-20.83764855
7,24,5.3,14,-20.4893542
8,24,5.3,14,-19.8724108
3,18,5.3,14.5,-14.94688531
4,18,5.3,14.5,-14.85728725
5,18,5.3,14.5,-15.24785806
6,18,5.3,14.5,-14.29499499
7,18,5.3,14.5,-13.97360971
8,18,5.3,14.5,-13.87885855
3,19,5.3,14.5,-21.27441088
4,19,5.3,14.5,-23.34585278
5,19,5.3,14.5,-22.49643248
6,19,5.3,14.5,-22.25360509
7,19,5.3,14.5,-19.20178856
8,19,5.3,14.5,-15.76855876
3,20,5.3,14.5,-54.00489705
4,20,5.3,14.5,-25.00489592
5,20,5.3,14.5,-27.16193632
6,20,5.3,14.5,-22.34409344
7,20,5.3,14.5,-21.95436362
8,20,5.3,14.5,-16.00171397
3,21,5.3,14.5,-31.91734878
4,21,5.3,14.5,-31.55921251
5,21,5.3,14.5,-24.8469535
6,21,5.3,14.5,-18.79482245
7,21,5.3,14.5,-24.40848126
8,21,5.3,14.5,-21.93554972
3,22,5.3,14.5,-23.02288512
4,22,5.3,14.5,-21.876551
5,22,5.3,14.5,-20.3380507
6,22,5.3,14.5,-23.09962193
7,22,5.3,14.5,-21.64164419
8,22,5.3,14.5,-21.5361492
3,23,5.3,14.5,-22.02291538
4,23,5.3,14.5,-27.52819319
5,23,5.3,14.5,-30.47930153
6,23,5.3,14.5,-32.43684264
7,23,5.3,14.5,-35.71790961
8,23,5.3,14.5,-34.22650366
3,24,5.3,14.5,-32.7839423
4,24,5.3,14.5,-56.35188201
5,24,5.3,14.5,-32.77737546
6,24,5.3,14.5,-28.40915711
7,24,5.3,14.5,-28.51533567
8,24,5.3,14.5,-26.68479622
3,18,5.3,15,-10.16558522
4,18,5.3,15,-11.6043895
5,18,5.3,15,-12.05273759
6,18,5.3,15,-11.64726463
7,18,5.3,15,-11.7547149
8,18,5.3,15,-10.61735412
3,19,5.3,15,-20.47659638
4,19,5.3,15,-19.38003447
5,19,5.3,15,-19.70784685
6,19,5.3,15,-16.41281286
7,19,5.3,15,-15.60014982
8,19,5.3,15,-16.07035815
3,20,5.3,15,-53.81507128
4,20,5.3,15,-23.87476492
5,20,5.3,15,-25.34114207
6,20,5.3,15,-22.4948676
7,20,5.3,15,-23.18569458
8,20,5.3,15,-22.29361934
3,21,5.3,15,-32.5730687
4,21,5.3,15,-29.04254513
5,21,5.3,15,-25.44871804
6,21,5.3,15,-27.25211057
7,21,5.3,15,-20.08979023
8,21,5.3,15,-29.87350587
3,22,5.3,15,-24.8198639
4,22,5.3,15,-26.95404632
5,22,5.3,15,-25.65755866
6,22,5.3,15,-24.07671421
7,22,5.3,15,-23.56471166
8,22,5.3,15,-21.95236538
3,23,5.3,15,-18.90254292
4,23,5.3,15,-19.31490267
5,23,5.3,15,-21.29027657
6,23,5.3,15,-20.65153314
7,23,5.3,15,-22.62965362
8,23,5.3,15,-21.54692976
3,24,5.3,15,-21.54692375
4,24,5.3,15,-25.05462571
5,24,5.3,15,-27.78990376
6,24,5.3,15,-31.95670201
7,24,5.3,15,-33.80622685
8,24,5.3,15,-36.95066335
