a,b,h,l,S11
13.6,13.6,4,24.5,-28.21912989
13.6,13.6,4,25,-30.72908809
13.6,13.6,4,25.5,-30.88092455
13.6,13.6,4,26,-34.94515985
13.8,13.6,4,23,-17.78203333
13.8,13.6,4,23.5,-23.71903262
13.8,13.6,4,24,-43.5943351
13.8,13.6,4,24.5,-27.25679023
13.8,13.6,4,25,-28.25470032
13.8,13.6,4,25.5,-30.06134186
13.8,13.6,4,26,-28.52829226
14,13.6,4,23,-17.89527775
14,13.6,4,23.5,-21.5466202
14,13.6,4,24,-49.91139053
14,13.6,4,24.5,-30.83061474
14,13.6,4,25,-27.64952881
14,13.6,4,25.5,-29.80545178
14,13.6,4,26,-27.28503202
12,13.8,4,23,-21.26004453
12,13.8,4,23.5,-30.3662985
12,13.8,4,24,-56.69145676
12,13.8,4,24.5,-31.57996556
12,13.8,4,25,-28.53114708
12,13.8,4,25.5,-29.6203757
12,13.8,4,26,-30.51554602
12.2,13.8,4,23,-32.9151864
12.2,13.8,4,23.5,-32.86540551
12.2,13.8,4,24,-37.94686152
12.2,13.8,4,24.5,-29.03140215
12.2,13.8,4,25,-28.10192893
12.2,13.8,4,25.5,-28.64933677
12.2,13.8,4,26,-28.39005686
12.4,13.8,4,23,-33.41604174
12.4,13.8,4,23.5,-31.300468
12.4,13.8,4,24,-34.42747123
12.4,13.8,4,24.5,-30.10628519
12.4,13.8,4,25,-28.40159646
12.4,13.8,4,25.5,-26.14165395
12.4,13.8,4,26,-37.84322377
12.6,13.8,4,23,-29.97494988
12.6,13.8,4,23.5,-26.14301123
12.6,13.8,4,24,-30.40229018
12.6,13.8,4,24.5,-30.0016756
12.6,13.8,4,25,-30.17415586
12.6,13.8,4,25.5,-30.28560584
12.6,13.8,4,26,-28.33258344
12.8,13.8,4,23,-22.40114177
12.8,13.8,4,23.5,-22.84245123
12.8,13.8,4,24,-37.46130032
12.8,13.8,4,24.5,-28.80727474
12.8,13.8,4,25,-29.15680168
12.8,13.8,4,25.5,-27.81043597
12.8,13.8,4,26,-29.1991514
13,13.8,4,23,-20.50467764
13,13.8,4,23.5,-21.67249388
13,13.8,4,24,-55.8601487
13,13.8,4,24.5,-28.19616074
13,13.8,4,25,-28.67324558
13,13.8,4,25.5,-28.09347913
13,13.8,4,26,-27.18677462
13.2,13.8,4,23,-19.53780468
13.2,13.8,4,23.5,-25.23837414
13.2,13.8,4,24,-38.60549873
13.2,13.8,4,24.5,-26.02223638
13.2,13.8,4,25,-26.60920712
13.2,13.8,4,25.5,-27.91126208
13.2,13.8,4,26,-29.64645713
13.4,13.8,4,23,-19.36036359
13.4,13.8,4,23.5,-27.67417658
13.4,13.8,4,24,-45.39722333
13.4,13.8,4,24.5,-27.68587077
13.4,13.8,4,25,-26.37057488
13.4,13.8,4,25.5,-27.80871747
13.4,13.8,4,26,-28.57407514
13.6,13.8,4,23,-17.91417183
13.6,13.8,4,23.5,-18.12265124
13.6,13.8,4,24,-46.03874314
13.6,13.8,4,24.5,-27.35451899
13.6,13.8,4,25,-26.47866078
13.6,13.8,4,25.5,-26.98831105
13.6,13.8,4,26,-26.87809323
13.8,13.8,4,23,-17.99293128
13.8,13.8,4,23.5,-24.19575048
13.8,13.8,4,24,-43.60069974
13.8,13.8,4,24.5,-28.73358049
13.8,13.8,4,25,-27.27054534
13.8,13.8,4,25.5,-40.13765461
13.8,13.8,4,26,-28.27420023
14,13.8,4,23,-16.97451895
14,13.8,4,23.5,-20.33965086
14,13.8,4,24,-35.04224332
14,13.8,4,24.5,-29.27184192
14,13.8,4,25,-27.30180547
14,13.8,4,25.5,-25.73134155
14,13.8,4,26,-34.92199681
12,14,4,23,-49.03754612
12,14,4,23.5,-40.34015338
12,14,4,24,-43.810167
12,14,4,24.5,-35.90555259
12,14,4,25,-41.84870401
12,14,4,25.5,-31.09472243
12,14,4,26,-28.69769805
12.2,14,4,23,-49.59991978
12.2,14,4,23.5,-56.02430058
12.2,14,4,24,-39.57198409
12.2,14,4,24.5,-39.51559717
12.2,14,4,25,-34.29772376
12.2,14,4,25.5,-36.97648223
12.2,14,4,26,-26.89299773
12.4,14,4,23,-32.36303265
12.4,14,4,23.5,-40.95167505
12.4,14,4,24,-42.16642126
12.4,14,4,24.5,-29.28113349
12.4,14,4,25,-27.41072827
12.4,14,4,25.5,-31.41778211
12.4,14,4,26,-30.86678996
12.6,14,4,23,-27.75732219
12.6,14,4,23.5,-38.59906137
12.6,14,4,24,-37.59320882
12.6,14,4,24.5,-33.6021969
12.6,14,4,25,-27.30125951
12.6,14,4,25.5,-29.21123504
12.6,14,4,26,-28.66840809
12.8,14,4,23,-23.88817669
12.8,14,4,23.5,-29.76336703
12.8,14,4,24,-42.86655001
12.8,14,4,24.5,-29.44029917
12.8,14,4,25,-30.24330438
12.8,14,4,25.5,-27.4023914
12.8,14,4,26,-27.51807239
13,14,4,23,-21.8195439
13,14,4,23.5,-24.34379168
13,14,4,24,-39.99080142
13,14,4,24.5,-26.58448939
13,14,4,25,-38.60941651
13,14,4,25.5,-27.63993692
13,14,4,26,-25.40526727
13.2,14,4,23,-17.28763702
13.2,14,4,23.5,-27.40493549
13.2,14,4,24,-41.48812629
13.2,14,4,24.5,-26.0123474
13.2,14,4,25,-28.36621918
13.2,14,4,25.5,-25.78730871
13.2,14,4,26,-27.07463191
13.4,14,4,23,-18.78262932
13.4,14,4,23.5,-23.80464247
13.4,14,4,24,-37.34686276
13.4,14,4,24.5,-25.62985071
13.4,14,4,25,-27.81060045
13.4,14,4,25.5,-25.4994566
13.4,14,4,26,-27.35991404
13.6,14,4,23,-19.00981019
13.6,14,4,23.5,-22.46910807
13.6,14,4,24,-59.9418425
13.6,14,4,24.5,-26.02326265
13.6,14,4,25,-26.11479316
13.6,14,4,25.5,-28.39248681
13.6,14,4,26,-28.35890827
13.8,14,4,23,-18.27410934
13.8,14,4,23.5,-25.53666169
13.8,14,4,24,-46.13214419
13.8,14,4,24.5,-26.26080576
13.8,14,4,25,-29.53607181
13.8,14,4,25.5,-26.50049059
13.8,14,4,26,-26.48683555
14,14,4,23,-17.85911194
14,14,4,23.5,-20.80125036
14,14,4,24,-49.09741159
14,14,4,24.5,-25.17730208
14,14,4,25,-27.03370118
14,14,4,25.5,-26.71113686
14,14,4,26,-26.7126906
12,12,5,23,-20.40774711
12,12,5,23.5,-27.17599167
12,12,5,24,-43.97501623
12,12,5,24.5,-28.55364465
12,12,5,25,-27.37225232
12,12,5,25.5,-30.55447225
12,12,5,26,-27.4545072
12.2,12,5,23,-18.36522387
12.2,12,5,23.5,-28.31697664
12.2,12,5,24,-55.25671965
12.2,12,5,24.5,-28.58094598
12.2,12,5,25,-28.68859402
12.2,12,5,25.5,-48.49308064
12.2,12,5,26,-29.02064755
12.4,12,5,23,-25.2596891
12.4,12,5,23.5,-26.2953447
12.4,12,5,24,-40.75643204
12.4,12,5,24.5,-28.10249395
12.4,12,5,25,-37.29750519
12.4,12,5,25.5,-27.25844469
12.4,12,5,26,-52.54174517
12.6,12,5,23,-20.24443104
12.6,12,5,23.5,-25.55154792
12.6,12,5,24,-33.96339076
12.6,12,5,24.5,-36.91190955
12.6,12,5,25,-34.03793003
12.6,12,5,25.5,-28.85449787
12.6,12,5,26,-34.85544688
12.8,12,5,23,-23.64870232
12.8,12,5,23.5,-23.68947578
12.8,12,5,24,-40.29236065
12.8,12,5,24.5,-31.39601183
12.8,12,5,25,-35.39198142
12.8,12,5,25.5,-33.14361591
12.8,12,5,26,-37.97363927
13,12,5,23,-26.44843847
13,12,5,23.5,-23.89762148
13,12,5,24,-42.08248307
13,12,5,24.5,-42.80821305
13,12,5,25,-46.4196543
13,12,5,25.5,-36.27108296
13,12,5,26,-54.04401679
13.2,12,5,23,-29.06509613
13.2,12,5,23.5,-26.81249094
13.2,12,5,24,-19.20881725
13.2,12,5,24.5,-45.42534767
13.2,12,5,25,-52.64844049
13.2,12,5,25.5,-56.42059063
13.2,12,5,26,-44.22750657
13.4,12,5,23,-25.17601016
13.4,12,5,23.5,-28.16462326
13.4,12,5,24,-45.24802601
13.4,12,5,24.5,-41.08789377
13.4,12,5,25,-41.38573203
13.4,12,5,25.5,-40.47568108
13.4,12,5,26,-27.72240881
13.6,12,5,23,-34.7378173
13.6,12,5,23.5,-36.58903417
13.6,12,5,24,-36.04688895
13.6,12,5,24.5,-33.90973582
13.6,12,5,25,-41.0443196
13.6,12,5,25.5,-36.44833036
13.6,12,5,26,-44.27881708
13.8,12,5,23,-31.41502647
13.8,12,5,23.5,-27.72568373
13.8,12,5,24,-34.32890847
13.8,12,5,24.5,-49.74181106
13.8,12,5,25,-54.7255474
13.8,12,5,25.5,-45.61647037
13.8,12,5,26,-35.25165404
14,12,5,23,-26.97956417
14,12,5,23.5,-60.46953636
14,12,5,24,-37.58328579
14,12,5,24.5,-40.87625112
14,12,5,25,-37.44617532
14,12,5,25.5,-34.71396444
14,12,5,26,-37.26166645
12,12.2,5,23,-29.35235923
12,12.2,5,23.5,-23.09652742
12,12.2,5,24,-52.99504346
12,12.2,5,24.5,-28.70839592
12,12.2,5,25,-27.86458469
12,12.2,5,25.5,-27.3150992
12,12.2,5,26,-26.0282015
12.2,12.2,5,23,-17.84750536
12.2,12.2,5,23.5,-24.29249785
12.2,12.2,5,24,-35.76902351
12.2,12.2,5,24.5,-28.75278775
12.2,12.2,5,25,-29.78233346
12.2,12.2,5,25.5,-27.68460546
12.2,12.2,5,26,-28.39451209
12.4,12.2,5,23,-21.32970163
12.4,12.2,5,23.5,-25.11168598
12.4,12.2,5,24,-51.11972217
12.4,12.2,5,24.5,-28.78168883
12.4,12.2,5,25,-26.89263669
12.4,12.2,5,25.5,-30.94585834
12.4,12.2,5,26,-27.77670026
12.6,12.2,5,23,-29.37905875
12.6,12.2,5,23.5,-24.85121386
12.6,12.2,5,24,-40.04630852
12.6,12.2,5,24.5,-27.10334946
12.6,12.2,5,25,-45.56011711
12.6,12.2,5,25.5,-40.2333421
12.6,12.2,5,26,-27.74149464
12.8,12.2,5,23,-21.74060051
12.8,12.2,5,23.5,-28.1242703
12.8,12.2,5,24,-38.44025927
12.8,12.2,5,24.5,-36.2049621
12.8,12.2,5,25,-32.07482471
12.8,12.2,5,25.5,-29.37389008
12.8,12.2,5,26,-49.26695322
13,12.2,5,23,-22.7489765
13,12.2,5,23.5,-27.89654667
13,12.2,5,24,-50.46773809
13,12.2,5,24.5,-28.60990787
13,12.2,5,25,-37.29897261
13,12.2,5,25.5,-35.70553931
13,12.2,5,26,-30.85388164
13.2,12.2,5,23,-36.46332053
13.2,12.2,5,23.5,-25.63329596
13.2,12.2,5,24,-39.79011048
13.2,12.2,5,24.5,-56.21778166
13.2,12.2,5,25,-54.42453649
13.2,12.2,5,25.5,-32.92631649
13.2,12.2,5,26,-30.86725514
13.4,12.2,5,23,-27.23207922
13.4,12.2,5,23.5,-28.79440597
13.4,12.2,5,24,-36.12416545
13.4,12.2,5,24.5,-34.41150159
13.4,12.2,5,25,-36.19640997
13.4,12.2,5,25.5,-40.08858228
13.4,12.2,5,26,-38.50385485
13.6,12.2,5,23,-29.98662797
13.6,12.2,5,23.5,-26.68595461
13.6,12.2,5,24,-44.69704897
13.6,12.2,5,24.5,-44.49475187
13.6,12.2,5,25,-34.60351823
13.6,12.2,5,25.5,-33.90509755
13.6,12.2,5,26,-54.19296766
13.8,12.2,5,23,-29.45366061
13.8,12.2,5,23.5,-30.4346405
13.8,12.2,5,24,-48.08549716
13.8,12.2,5,24.5,-51.05041704
13.8,12.2,5,25,-56.37526516
13.8,12.2,5,25.5,-49.19760131
13.8,12.2,5,26,-37.84021793
14,12.2,5,23,-35.19444021
14,12.2,5,23.5,-27.83020895
14,12.2,5,24,-34.92102811
14,12.2,5,24.5,-57.29315865
14,12.2,5,25,-44.20799543
14,12.2,5,25.5,-37.2008609
14,12.2,5,26,-34.07459564
12,12.4,5,23,-26.29534399
12,12.4,5,23.5,-28.4642317
12,12.4,5,24,-53.03906225
12,12.4,5,24.5,-27.58676166
12,12.4,5,25,-28.38364278
12,12.4,5,25.5,-26.77625396
12,12.4,5,26,-27.45046797
12.2,12.4,5,23,-23.39729371
12.2,12.4,5,23.5,-26.13315029
12.2,12.4,5,24,-52.60799952
12.2,12.4,5,24.5,-31.14456178
12.2,12.4,5,25,-29.85693152
12.2,12.4,5,25.5,-26.40669919
12.2,12.4,5,26,-35.02859935
12.4,12.4,5,23,-27.27491936
12.4,12.4,5,23.5,-24.79471484
12.4,12.4,5,24,-48.90674494
12.4,12.4,5,24.5,-27.21264014
12.4,12.4,5,25,-29.28807633
12.4,12.4,5,25.5,-27.18046929
12.4,12.4,5,26,-33.94614128
12.6,12.4,5,23,-23.07081793
12.6,12.4,5,23.5,-31.32097722
12.6,12.4,5,24,-49.84784693
12.6,12.4,5,24.5,-28.25594912
12.6,12.4,5,25,-28.1722537
12.6,12.4,5,25.5,-30.97237488
12.6,12.4,5,26,-28.33057456
12.8,12.4,5,23,-25.24237144
12.8,12.4,5,23.5,-24.42773182
12.8,12.4,5,24,-29.51359762
12.8,12.4,5,24.5,-35.36175031
12.8,12.4,5,25,-27.70992945
12.8,12.4,5,25.5,-37.64164332
12.8,12.4,5,26,-31.91658115
13,12.4,5,23,-39.32931573
13,12.4,5,23.5,-22.26926835
13,12.4,5,24,-38.3683847
13,12.4,5,24.5,-36.93109009
13,12.4,5,25,-38.60992387
13,12.4,5,25.5,-32.19242669
13,12.4,5,26,-36.36808255
13.2,12.4,5,23,-25.61727566
13.2,12.4,5,23.5,-25.86798738
13.2,12.4,5,24,-65.51191676
13.2,12.4,5,24.5,-38.93934581
13.2,12.4,5,25,-53.58997555
13.2,12.4,5,25.5,-40.15871845
13.2,12.4,5,26,-32.56643658
13.4,12.4,5,23,-22.32185257
13.4,12.4,5,23.5,-23.18290173
13.4,12.4,5,24,-43.37892919
13.4,12.4,5,24.5,-37.52450171
13.4,12.4,5,25,-31.32938786
13.4,12.4,5,25.5,-41.34491358
13.4,12.4,5,26,-34.50517049
13.6,12.4,5,23,-33.30632311
13.6,12.4,5,23.5,-25.49419077
13.6,12.4,5,24,-35.00279697
13.6,12.4,5,24.5,-31.09949878
13.6,12.4,5,25,-39.99691116
13.6,12.4,5,25.5,-33.65348852
13.6,12.4,5,26,-42.0418677
13.8,12.4,5,23,-52.38093725
13.8,12.4,5,23.5,-34.30626308
13.8,12.4,5,24,-51.30527505
13.8,12.4,5,24.5,-55.36722969
13.8,12.4,5,25,-39.32455151
13.8,12.4,5,25.5,-38.22011346
13.8,12.4,5,26,-35.85275246
14,12.4,5,23,-26.03019377
14,12.4,5,23.5,-33.73321729
14,12.4,5,24,-45.66812981
14,12.4,5,24.5,-39.28247138
14,12.4,5,25,-27.08082517
14,12.4,5,25.5,-43.28486465
14,12.4,5,26,-31.54993066
12,12.6,5,23,-27.91892844
12,12.6,5,23.5,-31.23276673
12,12.6,5,24,-50.83141614
12,12.6,5,24.5,-26.75961329
12,12.6,5,25,-27.12779783
12,12.6,5,25.5,-28.85007651
12,12.6,5,26,-30.87003288
12.2,12.6,5,23,-28.40316609
12.2,12.6,5,23.5,-28.2155489
12.2,12.6,5,24,-27.19760278
12.2,12.6,5,24.5,-27.66760258
12.2,12.6,5,25,-24.92017357
12.2,12.6,5,25.5,-25.4384288
12.2,12.6,5,26,-27.20207932
12.4,12.6,5,23,-26.23189135
12.4,12.6,5,23.5,-26.80388534
12.4,12.6,5,24,-63.18836524
12.4,12.6,5,24.5,-27.80956076
12.4,12.6,5,25,-27.34201482
12.4,12.6,5,25.5,-26.42141002
12.4,12.6,5,26,-27.33010775
12.6,12.6,5,23,-24.5408369
12.6,12.6,5,23.5,-33.2871387
12.6,12.6,5,24,-50.9869776
12.6,12.6,5,24.5,-38.74303335
12.6,12.6,5,25,-33.93958479
12.6,12.6,5,25.5,-29.88681777
12.6,12.6,5,26,-27.86438132
12.8,12.6,5,23,-34.78498852
12.8,12.6,5,23.5,-33.42023961
12.8,12.6,5,24,-62.43908294
12.8,12.6,5,24.5,-30.52383279
12.8,12.6,5,25,-61.61607775
12.8,12.6,5,25.5,-29.70408029
12.8,12.6,5,26,-28.52142306
13,12.6,5,23,-36.2247865
13,12.6,5,23.5,-30.73387273
13,12.6,5,24,-40.33583721
13,12.6,5,24.5,-40.37322567
13,12.6,5,25,-27.61988445
13,12.6,5,25.5,-42.36450936
13,12.6,5,26,-31.85333916
13.2,12.6,5,23,-40.66500822
13.2,12.6,5,23.5,-34.12690684
13.2,12.6,5,24,-36.33406934
13.2,12.6,5,24.5,-39.84290555
13.2,12.6,5,25,-33.40947936
13.2,12.6,5,25.5,-33.95606717
13.2,12.6,5,26,-33.32340826
13.4,12.6,5,23,-29.05276517
13.4,12.6,5,23.5,-27.25481776
13.4,12.6,5,24,-50.50618768
13.4,12.6,5,24.5,-37.66686833
13.4,12.6,5,25,-30.27305234
13.4,12.6,5,25.5,-32.95475039
13.4,12.6,5,26,-75.37145457
13.6,12.6,5,23,-38.08150988
13.6,12.6,5,23.5,-63.43307709
13.6,12.6,5,24,-43.16289518
13.6,12.6,5,24.5,-47.58540513
13.6,12.6,5,25,-33.60222502
13.6,12.6,5,25.5,-36.78105036
13.6,12.6,5,26,-35.39714637
13.8,12.6,5,23,-43.83120943
13.8,12.6,5,23.5,-31.4654002
13.8,12.6,5,24,-27.169211
13.8,12.6,5,24.5,-53.06581913
13.8,12.6,5,25,-43.54842597
13.8,12.6,5,25.5,-33.2901988
13.8,12.6,5,26,-57.086449
14,12.6,5,23,-33.5288406
14,12.6,5,23.5,-33.14141221
14,12.6,5,24,-38.86442454
14,12.6,5,24.5,-29.89311233
14,12.6,5,25,-41.10562297
14,12.6,5,25.5,-33.34305619
14,12.6,5,26,-40.39994913
12,12.8,5,23,-24.21742925
12,12.8,5,23.5,-32.62192809
12,12.8,5,24,-54.19690962
12,12.8,5,24.5,-26.1800666
12,12.8,5,25,-27.68379393
12,12.8,5,25.5,-25.12456088
12,12.8,5,26,-52.19790707
12.2,12.8,5,23,-31.53032915
12.2,12.8,5,23.5,-30.49318914
12.2,12.8,5,24,-39.85806963
12.2,12.8,5,24.5,-27.69053607
12.2,12.8,5,25,-26.05595998
12.2,12.8,5,25.5,-25.89932811
12.2,12.8,5,26,-26.97232159
12.4,12.8,5,23,-27.39147851
12.4,12.8,5,23.5,-27.53376093
12.4,12.8,5,24,-34.63584284
12.4,12.8,5,24.5,-27.76288335
12.4,12.8,5,25,-27.57788102
12.4,12.8,5,25.5,-26.9854851
12.4,12.8,5,26,-27.03644078
12.6,12.8,5,23,-29.0872835
12.6,12.8,5,23.5,-27.9126668
12.6,12.8,5,24,-59.87401076
12.6,12.8,5,24.5,-35.19287433
12.6,12.8,5,25,-29.96222457
12.6,12.8,5,25.5,-26.77987848
12.6,12.8,5,26,-28.25684757
12.8,12.8,5,23,-52.80659604
12.8,12.8,5,23.5,-33.39897939
12.8,12.8,5,24,-50.16227127
12.8,12.8,5,24.5,-32.03705742
12.8,12.8,5,25,-30.74893056
12.8,12.8,5,25.5,-31.91096022
12.8,12.8,5,26,-35.79756168
13,12.8,5,23,-34.80444192
13,12.8,5,23.5,-53.44649414
13,12.8,5,24,-32.07400265
13,12.8,5,24.5,-34.71831141
13,12.8,5,25,-31.71773174
13,12.8,5,25.5,-35.59551161
13,12.8,5,26,-26.90106529
13.2,12.8,5,23,-34.16496159
13.2,12.8,5,23.5,-37.76768001
13.2,12.8,5,24,-64.42206626
13.2,12.8,5,24.5,-36.06110594
13.2,12.8,5,25,-35.568865
13.2,12.8,5,25.5,-29.82636723
13.2,12.8,5,26,-34.04388263
13.4,12.8,5,23,-28.48006969
13.4,12.8,5,23.5,-32.68349238
13.4,12.8,5,24,-52.90166634
13.4,12.8,5,24.5,-27.97203117
13.4,12.8,5,25,-37.28282533
13.4,12.8,5,25.5,-38.02507379
13.4,12.8,5,26,-27.4420951
13.6,12.8,5,23,-48.01778973
13.6,12.8,5,23.5,-29.92376852
13.6,12.8,5,24,-37.87034237
13.6,12.8,5,24.5,-35.82551312
13.6,12.8,5,25,-40.17671714
13.6,12.8,5,25.5,-30.83485513
13.6,12.8,5,26,-39.20443689
13.8,12.8,5,23,-48.85961581
13.8,12.8,5,23.5,-62.80994262
13.8,12.8,5,24,-28.03258899
13.8,12.8,5,24.5,-32.21199438
13.8,12.8,5,25,-33.852259
13.8,12.8,5,25.5,-28.48529895
13.8,12.8,5,26,-30.76917578
14,12.8,5,23,-46.29586201
14,12.8,5,23.5,-32.13596015
14,12.8,5,24,-37.69259604
14,12.8,5,24.5,-37.70600109
14,12.8,5,25,-34.62247493
14,12.8,5,25.5,-33.62135147
14,12.8,5,26,-30.38344256
12,13,5,23,-24.80738839
12,13,5,23.5,-18.42395667
12,13,5,24,-46.59169041
12,13,5,24.5,-26.45677759
12,13,5,25,-28.123329
12,13,5,25.5,-28.97096601
12,13,5,26,-26.34309693
12.2,13,5,23,-29.4707076
12.2,13,5,23.5,-22.55978653
12.2,13,5,24,-39.83609179
12.2,13,5,24.5,-26.44488423
12.2,13,5,25,-27.38105046
12.2,13,5,25.5,-28.8826589
12.2,13,5,26,-28.28543999
12.4,13,5,23,-26.29397716
12.4,13,5,23.5,-32.14526432
12.4,13,5,24,-55.79707124
12.4,13,5,24.5,-28.60092482
12.4,13,5,25,-26.42467975
12.4,13,5,25.5,-28.59442403
12.4,13,5,26,-32.14039799
12.6,13,5,23,-35.23576238
12.6,13,5,23.5,-26.04686367
12.6,13,5,24,-58.14022358
12.6,13,5,24.5,-29.07790441
12.6,13,5,25,-33.01728361
12.6,13,5,25.5,-27.48225355
12.6,13,5,26,-28.06362299
12.8,13,5,23,-43.89594675
12.8,13,5,23.5,-28.22794465
12.8,13,5,24,-52.44735184
12.8,13,5,24.5,-28.70846301
12.8,13,5,25,-39.1599819
12.8,13,5,25.5,-42.99644544
12.8,13,5,26,-32.41703892
13,13,5,23,-33.34690022
13,13,5,23.5,-24.80026344
13,13,5,24,-37.67736042
13,13,5,24.5,-35.78690302
13,13,5,25,-30.444931
13,13,5,25.5,-27.8073583
13,13,5,26,-58.91332383
13.2,13,5,23,-46.80632918
13.2,13,5,23.5,-53.33046989
13.2,13,5,24,-43.82216097
13.2,13,5,24.5,-30.77375111
13.2,13,5,25,-27.38499085
13.2,13,5,25.5,-36.60521525
13.2,13,5,26,-29.48293185
13.4,13,5,23,-29.0856978
13.4,13,5,23.5,-34.42371598
13.4,13,5,24,-36.76702346
13.4,13,5,24.5,-45.5758858
13.4,13,5,25,-29.39953927
13.4,13,5,25.5,-28.02385533
13.4,13,5,26,-31.70131054
13.6,13,5,23,-27.46961382
13.6,13,5,23.5,-27.88340565
13.6,13,5,24,-44.7369581
13.6,13,5,24.5,-32.97126891
13.6,13,5,25,-42.81544213
13.6,13,5,25.5,-53.89263018
13.6,13,5,26,-36.23919273
13.8,13,5,23,-28.02065819
13.8,13,5,23.5,-35.28768892
13.8,13,5,24,-38.33992206
13.8,13,5,24.5,-35.06773216
13.8,13,5,25,-31.67642894
13.8,13,5,25.5,-28.87191296
13.8,13,5,26,-28.14616859
14,13,5,23,-43.09156056
14,13,5,23.5,-27.5309998
14,13,5,24,-37.75889926
14,13,5,24.5,-30.61713346
14,13,5,25,-34.37631748
14,13,5,25.5,-31.55483968
14,13,5,26,-32.74207436
12,13.2,5,23,-23.27278123
12,13.2,5,23.5,-31.88918037
12,13.2,5,24,-54.29130684
12,13.2,5,24.5,-25.87139215
12,13.2,5,25,-25.21015464
12,13.2,5,25.5,-25.35951366
12,13.2,5,26,-28.84242845
12.2,13.2,5,23,-28.13619063
12.2,13.2,5,23.5,-28.86467064
12.2,13.2,5,24,-38.90036099
12.2,13.2,5,24.5,-24.57946223
12.2,13.2,5,25,-26.86601009
12.2,13.2,5,25.5,-25.84510637
12.2,13.2,5,26,-25.51237892
12.4,13.2,5,23,-26.49576883
12.4,13.2,5,23.5,-31.65186321
12.4,13.2,5,24,-56.14594009
12.4,13.2,5,24.5,-42.72399044
12.4,13.2,5,25,-26.83720276
12.4,13.2,5,25.5,-27.75579676
12.4,13.2,5,26,-27.54870594
12.6,13.2,5,23,-31.11166342
12.6,13.2,5,23.5,-28.29591183
12.6,13.2,5,24,-36.86782024
12.6,13.2,5,24.5,-29.03822831
12.6,13.2,5,25,-27.45386894
12.6,13.2,5,25.5,-27.34576288
12.6,13.2,5,26,-28.33799556
12.8,13.2,5,23,-30.77835315
12.8,13.2,5,23.5,-35.78582164
12.8,13.2,5,24,-45.91537888
12.8,13.2,5,24.5,-30.52631119
12.8,13.2,5,25,-30.81181673
12.8,13.2,5,25.5,-28.06221238
12.8,13.2,5,26,-28.01860051
13,13.2,5,23,-34.65670088
13,13.2,5,23.5,-36.80551439
13,13.2,5,24,-51.39580797
13,13.2,5,24.5,-28.55907057
13,13.2,5,25,-37.01544826
13,13.2,5,25.5,-29.2071405
13,13.2,5,26,-29.10880476
13.2,13.2,5,23,-22.47702211
13.2,13.2,5,23.5,-39.53878063
13.2,13.2,5,24,-43.89235384
13.2,13.2,5,24.5,-35.70948262
